OBJECT_NAME,OBJECT_TYPE,FINDING_TYPE,SEVERITY,LINE,DESCRIPTION,STATUS
Z_VENDOR_REPORT,PROG,SQL_INJECTION,CRITICAL,145,Dynamic WHERE clause built via CONCATENATE without escaping,OPEN
Z_VENDOR_REPORT,PROG,MISSING_AUTHORIZATION,HIGH,12,No AUTHORITY-CHECK for S_TCODE in function entry,OPEN
Z_CUSTOMER_EXTRACT,PROG,HARDCODED_CREDENTIAL,CRITICAL,89,Literal PASSWORD value detected in RFC call parameters,OPEN
Z_CUSTOMER_EXTRACT,PROG,CALL_SYSTEM,HIGH,203,CALL 'SYSTEM' — OS command execution in custom code,OPEN
Z_FI_POSTING_BAPI,FUGR,MISSING_AUTHORIZATION,HIGH,45,Missing authority check in BAPI wrapper function module,OPEN
Z_FI_POSTING_BAPI,FUGR,SQL_INJECTION,CRITICAL,112,CL_SQL_STATEMENT used without parameterized query,OPEN
Z_HR_SALARY_RPT,PROG,HARDCODED_CREDENTIAL,CRITICAL,34,API_KEY literal string found in HTTP client setup,RESOLVED
Z_HR_SALARY_RPT,PROG,GENERATE_SUBROUTINE,HIGH,178,GENERATE SUBROUTINE POOL — dynamic code generation,OPEN
Z_MM_PO_UPLOAD,PROG,MISSING_AUTHORIZATION,WARNING,22,No AUTHORITY-CHECK before BAPI_PO_CREATE1 call,OPEN
Z_SD_PRICING_EXIT,FUGR,READ_REPORT,HIGH,67,READ REPORT used to access ABAP source at runtime,OPEN
Z_UTILS_COMMON,PROG,INSERT_REPORT,HIGH,234,INSERT REPORT — can modify ABAP source at runtime,OPEN
Z_LEGACY_MIGRATION,PROG,EXEC_SQL,HIGH,89,EXEC SQL native SQL block without input validation,OPEN
Z_BATCH_SCHEDULER,PROG,SUBMIT_VIA_JOB,WARNING,156,SUBMIT via JOB without preceding authorization check,OPEN
Z_INTEGRATION_HUB,CLAS,DYNAMIC_WHERE,CRITICAL,445,String template used to build WHERE clause dynamically,OPEN
Z_DATA_EXPORT,PROG,MISSING_AUTHORIZATION,HIGH,15,Function module callable via RFC without authorization check,FALSE_POSITIVE
